OTUID	10A	10B	10C	11A	11B	11C	12A	12B	12C	14A	14B	14C	15A	15B	15C	16A	16B	16C	17A	17B	17C	1A	1C	1D	2B	2C	3B	3C	4A	4B	4C	5A	5B	5C	6B	7A	7B	7C	8A	8B	8C	9A	9B	9C
RS-GCF-013096965.1-NZ-SDLG01000052.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	418.0	1352.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.0	0.0	0.0
RS-GCF-013293515.1-NZ-JAAKAG010000024.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	533.0	516.0	500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RS-GCF-000159455.2-NC-015697.1--2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	227.0	219.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	411.0	375.0	267.0
RS-GCF-014879275.1-NZ-CP062497.1--10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	513.0	437.0	498.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RS-GCF-000021425.1-NC-011835.1	0.0	0.0	0.0	0.0	0.0	56.0	0.0	50.0	52.0	0.0	0.0	0.0	216.0	170.0	229.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	92.0	89.0	0.0	0.0	163.0	222.0	0.0	0.0	0.0	0.0	0.0	0.0
KR364749	38.0	22.0	24.0	41.0	32.0	14.0	0.0	4.0	13.0	0.0	6.0	20.0	16.0	12.0	6.0	19.0	13.0	0.0	3.0	9.0	0.0	47.0	72.0	70.0	55.0	39.0	53.0	62.0	30.0	15.0	29.0	41.0	33.0	21.0	13.0	28.0	39.0	16.0	32.0	34.0	28.0	31.0	33.0	81.0
RS-GCF-000333915.1-NZ-ANAP01000165.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	717.0	484.0	754.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G900128875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	370.0	882.0	399.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GB-GCA-000155935.2-GL531761.1	49.0	75.0	60.0	30.0	15.0	13.0	35.0	9.0	13.0	14.0	4.0	0.0	13.0	0.0	3.0	8.0	7.0	6.0	3.0	4.0	7.0	33.0	18.0	26.0	19.0	10.0	8.0	13.0	16.0	20.0	8.0	20.0	13.0	20.0	31.0	12.0	23.0	14.0	123.0	3.0	11.0	22.0	34.0	50.0
RS-GCF-012926735.1-NZ-JABBMN010000034.1	19.0	0.0	8.0	0.0	0.0	0.0	255.0	2.0	0.0	0.0	18.0	2.0	8.0	0.0	0.0	0.0	2.0	0.0	6.0	8.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	44.0	8.0	6.0	469.0	0.0	8.0
RS-GCF-009649595.1-NZ-WJMW01000079.1	0.0	0.0	0.0	0.0	0.0	0.0	117.0	66.0	145.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	217.0	220.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159.0	388.0	276.0
RS-GCF-019131755.1-NZ-JAHOMT010000002.1	0.0	0.0	0.0	0.0	0.0	0.0	107.0	60.0	95.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	538.0	321.0	0.0	0.0	0.0	478.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MJ030-1-barcode41-umi15828bins-ubs-33	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.0	0.0	0.0	0.0	0.0	87.0	0.0	0.0	0.0	0.0	110.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	162.0	205.0	0.0
GB-GCA-004563345.1-SFSL01000079.1	0.0	0.0	0.0	5.0	21.0	29.0	0.0	9.0	6.0	0.0	0.0	0.0	153.0	117.0	135.0	7.0	12.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	9.0	7.0	16.0	7.0	36.0	29.0	0.0	11.0	59.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0
MT393596	12.0	0.0	0.0	0.0	0.0	0.0	451.0	0.0	0.0	8.0	0.0	26.0	0.0	0.0	3.0	0.0	3.0	0.0	12.0	0.0	3.0	0.0	0.0	0.0	19.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	53.0	16.0	0.0	9.0	25.0	7.0	0.0	75.0	6.0	0.0
RS-GCF-009295755.1-NZ-WHJL01000045.1	0.0	0.0	0.0	0.0	0.0	0.0	255.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1570.0	79.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0
MJ006-2-barcode74-umi49031bins-ubs-9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	231.0	226.0	273.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GB-GCA-018966485.1-CP076597.1--10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	225.0	210.0	260.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GB-GCA-011960395.1-BLMH01000001.1	31.0	29.0	26.0	15.0	13.0	0.0	0.0	6.0	0.0	8.0	17.0	17.0	4.0	4.0	0.0	14.0	8.0	4.0	0.0	10.0	9.0	33.0	28.0	25.0	22.0	24.0	20.0	33.0	12.0	15.0	15.0	19.0	18.0	10.0	8.0	7.0	13.0	22.0	33.0	15.0	15.0	30.0	26.0	22.0
RS-GCF-007990445.1-NZ-AP019841.1	0.0	0.0	0.0	0.0	0.0	0.0	573.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	120.0	6.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
GB-GCA-015265395.1-JABZXT010000111.1	0.0	0.0	0.0	0.0	0.0	0.0	214.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	17.0	8.0	0.0	0.0	341.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G000832905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	181.0	173.0	211.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RS-GCF-005864245.1-NZ-VBSZ01000035.1	135.0	0.0	151.0	0.0	37.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
